"","collectPoints_x","collectPoints_y","collectTimes"
"183",-79.667121887207,43.6687202453613,"2018-01-30 10:44:29"
"184",-79.6668167114258,43.668643951416,"2018-01-30 11:44:29"
"185",-79.667236328125,43.6688346862793,"2018-01-30 12:44:29"
"186",-79.6676635742188,43.6685523986816,"2018-01-30 13:44:29"
"187",-79.6665878295898,43.6690826416016,"2018-01-30 14:44:29"
"188",-79.6675720214844,43.6686325073242,"2018-01-30 15:44:29"
"189",-79.6670455932617,43.6688117980957,"2018-01-30 16:44:29"
"190",-79.6672668457031,43.6687622070313,"2018-01-30 17:44:29"
"191",-79.6671829223633,43.6691284179688,"2018-01-30 18:44:29"
"192",-79.6674652099609,43.6686401367188,"2018-01-30 19:44:29"
"193",-79.6672973632813,43.6685829162598,"2018-01-30 20:44:29"
"194",-79.6670227050781,43.6688461303711,"2018-01-30 21:44:29"
"195",-79.6673965454102,43.6686248779297,"2018-01-30 22:44:29"
"196",-79.6669692993164,43.6686325073242,"2018-01-30 23:44:29"
"197",-79.6670379638672,43.6687469482422,"2018-01-31 00:44:29"
"198",-79.6673049926758,43.6683006286621,"2018-01-31 01:44:29"
"199",-79.6673355102539,43.6686325073242,"2018-01-31 02:44:29"
"200",-79.667121887207,43.6685333251953,"2018-01-31 03:44:29"
"201",-79.6672973632813,43.6685562133789,"2018-01-31 04:44:29"
"202",-79.6665191650391,43.6686248779297,"2018-01-31 05:44:29"
"203",-79.6674499511719,43.6693916320801,"2018-01-31 06:44:29"
"204",-79.6670913696289,43.6685600280762,"2018-01-31 07:44:29"
"205",-79.6670837402344,43.6686592102051,"2018-01-31 08:44:29"
"206",-79.6671371459961,43.669361114502,"2018-01-31 09:44:29"
"207",-79.6669692993164,43.6689529418945,"2018-01-31 10:44:29"
"208",-79.6666564941406,43.668571472168,"2018-01-31 11:44:29"
"209",-79.6667861938477,43.6686782836914,"2018-01-31 12:44:29"
"210",-79.6670913696289,43.6687049865723,"2018-01-31 13:44:29"
"211",-79.666633605957,43.6690521240234,"2018-01-31 14:44:29"
"212",-79.6672286987305,43.6685218811035,"2018-01-31 15:44:29"
"213",-79.6666946411133,43.6683731079102,"2018-01-31 16:44:29"
"214",-79.6668319702148,43.6686477661133,"2018-01-31 17:44:29"
"215",-79.6673278808594,43.6686553955078,"2018-01-31 18:44:29"
"216",-79.6672821044922,43.6687812805176,"2018-01-31 19:44:29"
"217",-79.6671600341797,43.6686782836914,"2018-01-31 20:44:29"
"218",-79.6668701171875,43.6685752868652,"2018-01-31 21:44:29"
"219",-79.6672592163086,43.668041229248,"2018-01-31 22:44:29"
"220",-79.6667861938477,43.668888092041,"2018-01-31 23:44:29"
"221",-79.6666030883789,43.6685562133789,"2019-01-01 00:44:29"
"222",-79.6672439575195,43.6681594848633,"2019-01-01 01:44:29"
"223",-79.6667404174805,43.6689796447754,"2019-01-01 02:44:29"
"224",-79.6672821044922,43.6685218811035,"2019-01-01 03:44:29"
"225",-79.6668701171875,43.6682739257813,"2019-01-01 04:44:29"
"226",-79.6661758422852,43.6685485839844,"2019-01-01 05:44:29"
"227",-79.6673355102539,43.6690788269043,"2019-01-01 06:44:29"
"228",-79.6671829223633,43.6684875488281,"2019-01-01 07:44:29"
"229",-79.6670837402344,43.6685523986816,"2019-01-01 08:44:29"
"230",-79.6667175292969,43.6684608459473,"2019-01-01 09:44:29"
"231",-79.6671295166016,43.6680755615234,"2019-01-01 10:44:29"
"232",-79.6669235229492,43.6685943603516,"2019-01-01 11:44:29"
"233",-79.6668930053711,43.6684989929199,"2019-01-01 12:44:29"
"234",-79.6672134399414,43.6686859130859,"2019-01-01 13:44:29"
"235",-79.6664047241211,43.6689987182617,"2019-01-01 14:44:29"
"236",-79.6673431396484,43.6685066223145,"2019-01-01 15:44:29"
"237",-79.6666717529297,43.6684799194336,"2019-01-01 16:44:29"
"238",-79.6669769287109,43.668830871582,"2019-01-01 17:44:29"
"239",-79.6674118041992,43.6685943603516,"2019-01-01 18:44:29"
"240",-79.6670837402344,43.6686630249023,"2019-01-01 19:44:29"
"241",-79.6670837402344,43.6686515808105,"2019-01-01 20:44:29"
"242",-79.6669845581055,43.6682891845703,"2019-01-01 21:44:29"
"243",-79.6668395996094,43.6683349609375,"2019-01-01 22:44:29"
"244",-79.6664505004883,43.6689414978027,"2019-01-01 23:44:29"
"245",-79.6662292480469,43.6682014465332,"2019-01-02 00:44:29"
"246",-79.6668853759766,43.6684417724609,"2019-01-02 01:44:29"
"247",-79.666862487793,43.6690864562988,"2019-01-02 02:44:29"
"248",-79.6670684814453,43.6684150695801,"2019-01-02 03:44:29"
"249",-79.6663208007813,43.6683197021484,"2019-01-02 04:44:29"
