Date,Time,Latitude,Longitude
2018-12-24,05:12:54 AM,43.66941833,-79.66729736
2018-12-24,10:46:45 AM,43.66876602,-79.66671753
2018-12-24,05:20:25 AM,49.15592957,-123.017189
2018-12-24,08:12:52 AM,43.66944504,-79.66731262
2018-12-24,08:44:40 AM,49.15602112,-123.0172119
2018-12-24,11:07:39 AM,49.15565491,-123.0171738
2018-12-24,08:46:13 AM,49.24414063,-122.7544937
2018-12-24,06:20:43 AM,49.15592575,-123.0171432
2018-12-24,06:44:52 AM,49.15600204,-123.0171738
2018-12-24,06:46:36 AM,49.24414825,-122.7544785
2018-12-24,11:46:45 AM,43.66849518,-79.66733551
2018-12-24,08:56:04 AM,43.66937256,-79.6673584
2018-12-24,08:56:58 AM,49.15591049,-123.017189
2018-12-24,06:56:19 AM,43.66938019,-79.66734314
2018-12-24,12:07:39 PM,49.15564728,-123.0172653
2018-12-24,12:12:52 PM,43.66939926,-79.66736603
2018-12-24,12:20:21 PM,49.15595245,-123.0171432
2018-12-24,06:57:07 AM,49.15587616,-123.0172272
2018-12-24,09:56:04 AM,43.66937256,-79.6673584
2018-12-24,09:56:58 AM,49.15586853,-123.0171432
2018-12-24,09:57:44 AM,43.66910172,-79.66684723
2018-12-24,10:12:52 AM,43.66945267,-79.66727448
2018-12-24,12:44:39 PM,49.15600586,-123.0171585
2018-12-24,10:20:21 AM,49.15591812,-123.0171738
2018-12-24,12:46:45 PM,43.6688385,-79.6667099
2018-12-24,10:44:40 AM,49.15594101,-123.0171585
2018-12-24,07:56:59 AM,49.15587997,-123.0171738
2018-12-24,10:46:13 AM,49.24412155,-122.7544937
2018-12-24,10:56:04 AM,43.66938019,-79.66734314
2018-12-24,10:56:58 AM,49.1558609,-123.0171967
2018-12-24,10:57:44 AM,43.66911697,-79.66687775
2018-12-24,08:20:21 AM,49.15590668,-123.0171585
2018-12-24,01:07:39 PM,49.15563202,-123.0172501
2018-12-24,11:12:52 AM,43.66939926,-79.66732025
